NU_ANO,NT_GER,NT_FG,NT_CE_D1,NT_CE_D2,NT_CE_D3
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.8,15,0,0,0
2021,3.9,6.4,10,0,50
2021,3.9,4.4,0,0,0
2021,3.9,9.5,0,40,0
2021,4,15.9,0,0,0
2021,4,4,70,0,10
2021,4,2.6,0,0,0
2021,4.1,16.2,0,0,0
2021,4.1,16.3,0,0,0
2021,4.1,8.4,0,35,20
2021,4.1,5.2,0,0,0
2021,4.1,5.2,0,0,0
2021,4.1,16.3,0,0,0
2021,4.1,16.3,0,0,0
2021,4.2,10.8,40,0,0
2021,4.2,7.5,0,0,0
2021,4.3,17.2,0,0,0
2021,4.3,5.6,0,0,0
2021,4.3,3.6,0,0,0
2021,4.3,15.6,0,0,10
2021,4.3,5.8,10,15,50
2021,4.3,17,0,0,0
2021,4.3,6.8,25,45,0
2021,4.3,0,40,0,0
2021,4.4,2.6,10,0,0
2021,4.4,0,30,5,10
2021,4.4,17.6,0,0,0
2021,4.4,2.4,0,0,15
2021,4.4,5.4,0,0,0
2021,4.4,17.6,0,0,0
2021,4.5,15,0,0,20
2021,4.5,17.9,0,0,0
2021,4.5,0,10,10,15
2021,4.5,14.5,0,25,0
2021,4.5,11.1,15,10,20
2021,4.5,18,0,0,0
2021,4.5,17.8,0,0,0
2021,4.6,7.5,0,0,0
2021,4.6,3.2,20,70,10
2021,4.6,18.4,0,0,0
2021,4.6,10.9,50,0,0
2021,4.6,0,50,0,0
2021,4.6,2.6,25,5,0
2021,4.7,7.5,0,0,0
2021,4.7,10.5,10,30,15
2021,4.7,7.5,0,0,0
2021,4.7,7.4,75,0,0
2021,4.7,18.9,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,15,25,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,15,0,25,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,18.6,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,5.4,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.7,7.5,0,0,0
2021,4.8,19,0,0,0
2021,4.8,5.8,0,0,0
2021,4.8,5.8,0,0,0
2021,4.8,19.2,0,0,0
2021,4.8,19,0,0,0
2021,4.8,15.5,15,0,10
2021,4.8,19.2,0,0,0
2021,4.9,19.4,0,0,0
2021,4.9,7.4,0,0,0
2021,4.9,15,15,15,0
2021,5,20,0,0,0
2021,5,7.8,0,30,50
