NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;NU_ANO;NT_GER;NT_FG;NT_CE_D1;NT_CE_D2;NT_CE_D3;TP_SEXO;NU_IDADE;QE_I01;QE_I02;QE_I04;QE_I05;QE_I08;QE_I10;QE_I11;QE_I14;QE_I15;QE_I23;QE_I25;QE_I26
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;B;A;A
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;D;A;A;A;A;A;B;A;A
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;D;A;A;A;A;A;B;C;A
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;B;D;B;B;A;A;A;B;E;A
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;C;D;B;C;A;A;A;C;E;A
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;C;E;B;D;A;A;C;C;E;A
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;D;D;E;B;E;A;A;C;D;H;C
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;D;D;E;B;E;A;A;D;D;H;F
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;19;B;D;E;F;C;E;E;A;D;E;H;F
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;19;B;D;E;F;F;E;G;E;E;E;H;F
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;;;;;;;;;;;;
2021;32;25352;1;10028;1602;1;5107602;51;5;2021;0;0;0;0;0;F;20;;;;;;;;;;;;
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;A;A;A;A;A;A;A;A;A;A
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;A;A;A;A;A;A;A;A;A;A
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;A;B;A;A;A;A;B;A;A
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;B;B;A;A;A;A;B;A;A
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;B;B;A;A;A;A;B;A;A
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;C;B;B;B;B;A;A;A;C;B;A
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;D;B;D;B;C;A;A;C;C;E;A
2021;34;25352;1;10028;702;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;D;C;D;B;C;A;A;D;C;E;A
2021;36;1;1;10028;4004;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;A;B;A;A;A;A;A;A;A;A
2021;36;1;1;10028;4004;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;A;A;A
2021;36;1;1;10028;4004;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;C;B;A;A;A;A;A;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.7;0;0;45;0;F;20;A;A;A;B;A;A;A;A;A;A;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.7;3.6;0;20;0;F;20;A;A;A;C;A;A;A;A;A;A;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.7;6.6;0;0;0;F;20;A;A;B;C;A;A;A;A;A;A;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;B;C;B;A;A;A;A;A;A;A
2021;127;2;1;10028;4004;1;5300108;53;5;2021;1.9;7.5;0;0;0;F;20;A;A;B;C;B;A;A;A;A;B;A;A
