NU_ANO,CO_CURSO,NU_IDADE
2021,75288,19
2021,1322633,19
2021,89380,19
2021,1001938,19
2021,1258848,19
2021,76561,19
2021,1286531,19
2021,120976,19
2021,76851,19
2021,20699,19
2021,114097,19
2021,20699,19
2021,1485428,19
2021,1485386,19
2021,20699,19
2021,1315444,19
2021,19534,19
2021,89380,19
2021,89380,19
2021,1258844,19
2021,1131979,19
2021,1131979,19
2021,123523,19
2021,89380,19
2021,1001938,19
2021,114097,19
2021,1180789,19
2021,51397,19
2021,103950,19
2021,1286800,19
2021,123526,19
2021,123526,19
2021,1180799,19
2021,106996,19
2021,70492,19
2021,37291,19
2021,1001938,19
2021,1485386,19
2021,1180799,19
2021,100305,19
2021,100305,19
2021,67380,19
2021,5001328,19
2021,116390,19
2021,58360,19
2021,1402587,19
2021,5000456,19
2021,115664,19
2021,89380,19
2021,1204643,19
2021,77098,19
2021,1180799,19
2021,19534,19
2021,100305,19
2021,1210192,19
2021,1286800,19
2021,1121456,19
2021,1204643,19
2021,113829,19
2021,100305,19
2021,81328,19
2021,1186955,19
2021,58360,19
2021,1468267,19
2021,1386426,19
2021,89380,19
2021,1210130,19
2021,65687,19
2021,1457379,19
2021,1268566,19
2021,59993,19
2021,1420136,19
2021,1258528,19
2021,113829,19
2021,89380,19
2021,123549,19
2021,5000456,19
2021,1210193,19
2021,5000456,19
2021,1150328,19
2021,20525,19
2021,1131979,19
2021,71514,19
2021,1131979,19
2021,52007,19
2021,106684,19
2021,1149897,19
2021,1348195,19
2021,1427577,19
2021,94994,19
2021,113829,19
2021,123545,19
2021,5001328,19
2021,89380,19
2021,1160946,19
2021,1131979,19
2021,87280,19
2021,1442869,19
2021,89380,19
2021,71514,19
2021,100305,19
2021,38807,19
2021,21760,19
2021,39076,19
2021,21760,19
2021,52007,19
2021,1131979,19
2021,89380,19
2021,20699,19
2021,1112324,19
2021,1286800,19
2021,1348195,19
2021,1177465,19
2021,1001938,19
2021,113829,19
2021,58360,19
2021,1180799,19
2021,1286800,19
2021,87280,19
2021,1131979,19
2021,122866,19
2021,103338,19
2021,9726,19
2021,5000454,19
2021,120172,19
2021,1286800,19
2021,71514,19
2021,1150467,19
2021,65740,19
2021,71514,19
2021,1314139,19
2021,1322330,19
2021,1161613,19
2021,1177589,19
2021,113829,19
2021,70036,19
2021,1055334,19
2021,1180796,19
2021,71514,19
2021,20699,19
2021,1443997,19
2021,102869,19
2021,1420648,19
2021,6584,19
2021,1210192,19
2021,1160946,19
2021,1177853,19
2021,71514,19
2021,59993,19
2021,107383,19
2021,1001938,19
2021,100305,19
2021,1258528,19
2021,1364323,19
2021,113829,19
2021,1257521,19
2021,5000454,19
2021,1210193,19
2021,120172,19
2021,1258704,19
2021,1155933,19
2021,39076,19
2021,1268566,19
2021,1348195,19
2021,1205714,19
2021,62458,19
2021,71514,19
2021,114097,19
2021,1258848,19
2021,48895,19
2021,100305,19
2021,17671,19
2021,1210193,19
2021,1257521,19
2021,1487493,19
2021,1522383,19
